url_index,y_true,prob_ensemble,prob_char,prob_lgb
51335,1,0.9991282211836103,0.99998903,0.9978368846316941
59001,0,0.0024463912637549797,0.0013282171,0.004123652453445682
58636,0,0.004471562347086533,0.004703057,0.004124320137059352
97767,0,0.002609333805339221,0.0015997766,0.004123669559065709
87226,1,0.9989017245152717,0.99961156,0.9978368870862139
14421,1,0.9991300700338835,0.99999213,0.9978368873974072
34462,0,0.00246773702056726,0.001363639,0.004123883873960504
90601,0,0.0021855684277250417,0.00076560304,0.004315516443020428
26322,1,0.9991289930570336,0.99999034,0.9978368771642973
49671,0,0.01738448822707517,0.02621797,0.004134266866012993
45528,1,0.999127387008458,0.9999877,0.9978368853563805
98340,1,0.9987144446716172,0.9992994,0.9978368819617883
32612,0,0.0044983784179355845,0.003567667,0.005894445459163721
56483,0,0.001963213649337095,0.000522908,0.004123672068214297
8141,0,0.009674792491259817,0.013375546,0.004123661984658848
44651,0,0.0035315328945241726,0.002996193,0.004334542485145816
79182,0,0.010941372179676598,0.015486386,0.004123851939264697
75483,0,0.0020255143766360227,0.00062588305,0.0041249613453573225
23007,1,0.9991343019636265,0.99999917,0.9978368873973168
12452,1,0.9991158245237495,0.9999684,0.9978368873973253
17388,1,0.9991160629423532,0.99996877,0.9978368873973869
81157,0,0.0022780899243875557,0.0010476301,0.004123779638083457
61860,0,0.004157898118858789,0.0010813073,0.008772784314699482
59204,0,0.003723483779487934,0.0034565113,0.004123942379424785
39791,0,0.002003912423371082,0.0005906592,0.00412379221084231
51492,0,0.002029817152029206,0.000633859,0.004123754281216125
22751,0,0.0028905946468268393,0.0020665652,0.004126638799273609
12751,0,0.0025777194632128023,0.0015466523,0.004124320137059352
23192,0,0.003598695624232693,0.0032487125,0.004123670231980342
49875,1,0.9978731272848278,0.99789727,0.9978368873973265
32301,1,0.9991239894711461,0.999982,0.9978368851749811
11728,1,0.9989889858396765,0.999757,0.9978368873973482
8163,0,0.0019340297390996282,0.0004738471,0.004124303656236917
37581,1,0.999128042369676,0.9999888,0.9978368846316941
83376,1,0.9991229174730893,0.9999802,0.9978368873888541
73777,0,0.002900051192679372,0.0020842955,0.0041236845015569686
60977,1,0.9991128416975744,0.9999634,0.9978368809124846
34647,0,0.004277691084857149,0.004377172,0.004128469917837191
45213,0,0.003115746150615624,0.002443016,0.0041248412567260655
1090,0,0.00231696323937426,0.001112039,0.0041243495589277385
90195,0,0.002669987643033186,0.0017008624,0.004123675233889171
75011,0,0.004555492714062061,0.00484332,0.0041237509716667885
36604,1,0.9991346595888686,0.99999976,0.9978368873907504
99080,1,0.9985863862551487,0.999086,0.9978368128630611
31755,1,0.9991173742426394,0.99997103,0.9978368873926398
64225,0,0.0020967275207465384,0.0007445716,0.0041249613453573225
64887,1,0.9943431612625393,0.992014,0.9978368870354377
97935,1,0.9990975855024751,0.999938,0.9978368873973924
79507,0,0.0021774802185593823,0.0007767303,0.004278605018858494
41551,0,0.0026580382270695087,0.0012955236,0.004701810107089906
8844,0,0.003351214314106634,0.002835788,0.0041243535122921825
66486,1,0.9991083143368711,0.9999559,0.9978368873932335
23889,0,0.0028684960837177384,0.0020316269,0.004123799659004298
38291,1,0.9991320369871433,0.99999547,0.9978368873973625
76979,1,0.9991347191935134,0.9999999,0.9978368873907504
